**********
create-multi-duckdb.sql
duckdb 0.8.1
Wed Aug 9 17:45:10 UTC 2023
**********
Query,parallelism,iteration,time
1,1,0,0.4385078880004585
1,1,1,0.10597255686298013
1,1,2,0.10603023506700993
1,2,0,0.09992504213005304
1,2,1,0.08022976480424404
1,2,2,0.08682388532906771
1,4,0,0.1358915502205491
1,4,1,0.11436757491901517
1,4,2,0.11640254501253366
1,8,0,0.11551846098154783
1,8,1,0.11299207201227546
1,8,2,0.10988501086831093
2,1,0,1.4968042857944965
2,1,1,0.7596599352546036
2,1,2,0.7540672533214092
2,2,0,0.41803713608533144
2,2,1,0.4155018930323422
2,2,2,0.4134286781772971
2,4,0,0.23402540385723114
2,4,1,0.23243973683565855
2,4,2,0.24346613697707653
2,8,0,0.24325496004894376
2,8,1,0.22241530194878578
2,8,2,0.23171271523460746
3,1,0,3.4478595182299614
3,1,1,1.7380338557995856
3,1,2,1.7411158080212772
3,2,0,0.9265942610800266
3,2,1,0.925043324008584
3,2,2,0.92367241717875
3,4,0,0.5188993881456554
3,4,1,0.5021001598797739
3,4,2,0.5059217698872089
3,8,0,0.4627768681384623
3,8,1,0.4613553420640528
3,8,2,0.46575113013386726
4,1,0,3.695352389011532
4,1,1,1.4374369587749243
4,1,2,1.4216846730560064
4,2,0,0.7270488147623837
4,2,1,0.7297343979589641
4,2,2,0.7151612630113959
4,4,0,0.3865864030085504
4,4,1,0.39719745609909296
4,4,2,0.38685839995741844
4,8,0,0.3590272688306868
4,8,1,0.3495688703842461
4,8,2,0.3500638320110738
5,1,0,9.97828966518864
5,1,1,7.319909632671624
5,1,2,7.267505374737084
5,2,0,5.462769671808928
5,2,1,5.2501037158071995
5,2,2,5.233120407909155
5,4,0,3.1474961629137397
5,4,1,2.966161008924246
5,4,2,2.9826355297118425
5,8,0,2.6448750109411776
5,8,1,2.481306437868625
5,8,2,2.4739867192693055
6,1,0,14.335394871421158
6,1,1,11.481596454046667
6,1,2,11.356801916379482
6,2,0,7.079858663957566
6,2,1,6.9969980688765645
